Date,Adj Close,Close,High,Low,Open,Volume
2020-11-30,289.5499267578125,299.6199951171875,299.9700012207031,294.7799987792969,299.3399963378906,27836200
2020-12-01,293.2608642578125,303.4599914550781,305.1400146484375,300.8299865722656,301.9700012207031,27521300
2020-12-02,293.6376037597656,303.8500061035156,304.20001220703125,300.3500061035156,302.25,23620000
2020-12-03,294.0533447265625,304.2799987792969,305.8800048828125,303.5299987792969,304.1700134277344,22828700
2020-12-04,295.2515563964844,305.5199890136719,305.6700134277344,303.6300048828125,304.3299865722656,19332100
2020-12-07,296.9234924316406,307.25,307.6300048828125,305.5199890136719,305.7099914550781,20851000
2020-12-08,297.9285583496094,308.2900085449219,308.6000061035156,304.95001220703125,306.760009765625,18341500
2020-12-09,291.18310546875,301.30999755859375,308.3599853515625,300.2099914550781,308.07000732421875,48839300
2020-12-10,292.3524169921875,302.5199890136719,303.67999267578125,298.0899963378906,299.2099914550781,27519500
2020-12-11,291.7049865722656,301.8500061035156,301.9800109863281,298.4700012207031,300.80999755859375,26760400
2020-12-14,293.8213806152344,304.0400085449219,306.04998779296875,303.010009765625,303.0799865722656,28804800
2020-12-15,296.96209716796875,307.2900085449219,307.2900085449219,304.1099853515625,306.3699951171875,25709000
2020-12-16,298.5952453613281,308.9800109863281,309.7900085449219,306.6199951171875,307.70001220703125,25461900
2020-12-17,300.5474853515625,311.0,311.239990234375,309.3900146484375,310.6300048828125,23730500
2020-12-18,299.6390686035156,310.05999755859375,311.9800109863281,307.6099853515625,311.6600036621094,41173400
2020-12-21,299.0784606933594,308.9200134277344,309.4700012207031,303.6000061035156,306.4599914550781,37095500
2020-12-22,299.89166259765625,309.760009765625,310.7099914550781,306.8500061035156,309.8500061035156,26176300
2020-12-23,298.3813781738281,308.20001220703125,310.17999267578125,308.0400085449219,309.80999755859375,21201300
2020-12-24,299.6980285644531,309.55999755859375,310.0199890136719,308.3900146484375,308.4700012207031,16785000
2020-12-28,302.71868896484375,312.67999267578125,313.1700134277344,310.3599853515625,312.25,22497700
2020-12-29,302.9897766113281,312.9599914550781,314.69000244140625,312.0299987792969,314.04998779296875,25871900
2020-12-30,302.99945068359375,312.9700012207031,314.489990234375,312.3299865722656,314.1600036621094,18138100
2020-12-31,303.744873046875,313.739990234375,314.239990234375,311.760009765625,312.8699951171875,21611400
2021-01-04,299.4560241699219,309.30999755859375,315.2900085449219,305.17999267578125,315.1099853515625,45305900
2021-01-05,301.9248352050781,311.8599853515625,312.1400146484375,308.2900085449219,308.2900085449219,29323400
2021-01-06,297.7424011230469,307.5400085449219,311.8800048828125,305.9800109863281,307.0,52809600
2021-01-07,304.9454345703125,314.9800109863281,315.8399963378906,310.25,310.2799987792969,30394800
2021-01-08,308.8663330078125,319.0299987792969,319.3900146484375,315.0799865722656,317.3399963378906,33955800
2021-01-11,304.4032287597656,314.4200134277344,317.19000244140625,313.75,315.9800109863281,32746400
2021-01-12,303.9191589355469,313.9200134277344,315.5799865722656,311.20001220703125,314.4599914550781,29266800
2021-01-13,305.97161865234375,316.0400085449219,316.8599853515625,313.57000732421875,314.19000244140625,22898400
2021-01-14,304.3354187011719,314.3500061035156,317.5299987792969,313.8599853515625,316.5,23500100
2021-01-15,301.9248352050781,311.8599853515625,315.1199951171875,310.5799865722656,314.1300048828125,35118700
2021-01-19,306.329833984375,316.4100036621094,316.92999267578125,313.1199951171875,314.25,24537000
2021-01-20,313.455322265625,323.7699890136719,324.739990234375,316.510009765625,320.1400146484375,30728100
2021-01-21,315.96282958984375,326.3599853515625,327.1300048828125,323.7300109863281,325.1499938964844,25130600
2021-01-22,315.0528259277344,325.4200134277344,326.4599914550781,324.7099914550781,325.2900085449219,21609400
2021-01-25,317.6571350097656,328.1099853515625,330.32000732421875,321.4100036621094,328.9100036621094,39080600
2021-01-26,318.1217956542969,328.5899963378906,329.760009765625,327.2200012207031,328.8500061035156,25498100
2021-01-27,309.253662109375,319.42999267578125,326.2699890136719,317.3599853515625,326.260009765625,55264000
2021-01-28,311.0834655761719,321.32000732421875,326.4200134277344,320.0299987792969,320.6700134277344,42836300
2021-01-29,304.53875732421875,314.55999755859375,320.7200012207031,312.760009765625,319.5799865722656,55259000
2021-02-01,312.1484069824219,322.4200134277344,323.5400085449219,316.0199890136719,318.1099853515625,35646000
